RIDE,MONTH,TIME_OF_DAY,AVERAGE_WAIT_TIME_MIN
SEVEN DWARFS MINE TRAIN,SEP,7 PM,58.11493411
SEVEN DWARFS MINE TRAIN,SEP,8 PM,45.47832072
SEVEN DWARFS MINE TRAIN,SEP,9 PM,48.05169753
SEVEN DWARFS MINE TRAIN,SEP,10 PM,36.11111111
SEVEN DWARFS MINE TRAIN,SEP,11 PM,24.62130937
SEVEN DWARFS MINE TRAIN,OCT,12 AM,30.83333333
SEVEN DWARFS MINE TRAIN,OCT,7 AM,50.06067416
SEVEN DWARFS MINE TRAIN,OCT,8 AM,52.36003373
SEVEN DWARFS MINE TRAIN,OCT,9 AM,56.89112649
SEVEN DWARFS MINE TRAIN,OCT,10 AM,72.09594334
SEVEN DWARFS MINE TRAIN,OCT,11 AM,84.21656051
SEVEN DWARFS MINE TRAIN,OCT,12 PM,84.20691906
SEVEN DWARFS MINE TRAIN,OCT,1 PM,78.61350099
SEVEN DWARFS MINE TRAIN,OCT,2 PM,79.87551867
SEVEN DWARFS MINE TRAIN,OCT,3 PM,71.04938272
SEVEN DWARFS MINE TRAIN,OCT,4 PM,77.74900398
SEVEN DWARFS MINE TRAIN,OCT,5 PM,81.65678524
SEVEN DWARFS MINE TRAIN,OCT,6 PM,90.24115756
SEVEN DWARFS MINE TRAIN,OCT,7 PM,58.49748382
SEVEN DWARFS MINE TRAIN,OCT,8 PM,56.0615942
SEVEN DWARFS MINE TRAIN,OCT,9 PM,57.97619048
SEVEN DWARFS MINE TRAIN,OCT,10 PM,44.859375
SEVEN DWARFS MINE TRAIN,OCT,11 PM,33.42328042
SEVEN DWARFS MINE TRAIN,NOV,12 AM,37.22222222
SEVEN DWARFS MINE TRAIN,NOV,7 AM,47.42
SEVEN DWARFS MINE TRAIN,NOV,8 AM,52.81569343
SEVEN DWARFS MINE TRAIN,NOV,9 AM,58.9475891
SEVEN DWARFS MINE TRAIN,NOV,10 AM,71.2359199
SEVEN DWARFS MINE TRAIN,NOV,11 AM,81.98566085
SEVEN DWARFS MINE TRAIN,NOV,12 PM,82.60450161
SEVEN DWARFS MINE TRAIN,NOV,1 PM,82.3241206
SEVEN DWARFS MINE TRAIN,NOV,2 PM,86.47268409
SEVEN DWARFS MINE TRAIN,NOV,3 PM,79.57910448
SEVEN DWARFS MINE TRAIN,NOV,4 PM,82.84296556
SEVEN DWARFS MINE TRAIN,NOV,5 PM,82.37041351
SEVEN DWARFS MINE TRAIN,NOV,6 PM,90.15090543
SEVEN DWARFS MINE TRAIN,NOV,7 PM,58.80404463
SEVEN DWARFS MINE TRAIN,NOV,8 PM,58.55518395
SEVEN DWARFS MINE TRAIN,NOV,9 PM,60.81151832
SEVEN DWARFS MINE TRAIN,NOV,10 PM,50.25380711
SEVEN DWARFS MINE TRAIN,NOV,11 PM,37.38100437
SEVEN DWARFS MINE TRAIN,DEC,12 AM,52.25274725
SEVEN DWARFS MINE TRAIN,DEC,7 AM,55.42079208
SEVEN DWARFS MINE TRAIN,DEC,8 AM,57.8347541
SEVEN DWARFS MINE TRAIN,DEC,9 AM,62.74922601
SEVEN DWARFS MINE TRAIN,DEC,10 AM,81.79344465
SEVEN DWARFS MINE TRAIN,DEC,11 AM,87.06325301
SEVEN DWARFS MINE TRAIN,DEC,12 PM,87.97021028
SEVEN DWARFS MINE TRAIN,DEC,1 PM,97.668187
SEVEN DWARFS MINE TRAIN,DEC,2 PM,97.7784027
SEVEN DWARFS MINE TRAIN,DEC,3 PM,89.731243
SEVEN DWARFS MINE TRAIN,DEC,4 PM,90.1713948
SEVEN DWARFS MINE TRAIN,DEC,5 PM,88.79784689
SEVEN DWARFS MINE TRAIN,DEC,6 PM,93.28273245
SEVEN DWARFS MINE TRAIN,DEC,7 PM,64.96238426
SEVEN DWARFS MINE TRAIN,DEC,8 PM,64.01563405
SEVEN DWARFS MINE TRAIN,DEC,9 PM,60.15531661
SEVEN DWARFS MINE TRAIN,DEC,10 PM,49.17400135
SEVEN DWARFS MINE TRAIN,DEC,11 PM,37.66751484
PETER PAN'S FLIGHT,JAN,12 AM,16.37123746
PETER PAN'S FLIGHT,JAN,7 AM,43.7983871
PETER PAN'S FLIGHT,JAN,8 AM,49.19736842
PETER PAN'S FLIGHT,JAN,9 AM,53.22922476
PETER PAN'S FLIGHT,JAN,10 AM,60.00566572
PETER PAN'S FLIGHT,JAN,11 AM,72.28942906
PETER PAN'S FLIGHT,JAN,12 PM,76.61253561
PETER PAN'S FLIGHT,JAN,1 PM,74.90876986
PETER PAN'S FLIGHT,JAN,2 PM,76.16792562
PETER PAN'S FLIGHT,JAN,3 PM,72.32340922
PETER PAN'S FLIGHT,JAN,4 PM,78.08109652
PETER PAN'S FLIGHT,JAN,5 PM,74.89970501
PETER PAN'S FLIGHT,JAN,6 PM,72.95413398
PETER PAN'S FLIGHT,JAN,7 PM,61.54642409
PETER PAN'S FLIGHT,JAN,8 PM,57.076326
PETER PAN'S FLIGHT,JAN,9 PM,55.51608579
PETER PAN'S FLIGHT,JAN,10 PM,40.18695652
PETER PAN'S FLIGHT,JAN,11 PM,22.80864198
PETER PAN'S FLIGHT,FEB,12 AM,19.86263736
PETER PAN'S FLIGHT,FEB,7 AM,35.97142857
PETER PAN'S FLIGHT,FEB,8 AM,50.51122195
PETER PAN'S FLIGHT,FEB,9 AM,54.71052632
PETER PAN'S FLIGHT,FEB,10 AM,59.96537396
PETER PAN'S FLIGHT,FEB,11 AM,76.06338028
PETER PAN'S FLIGHT,FEB,12 PM,77.87983425
PETER PAN'S FLIGHT,FEB,1 PM,80.08928571
PETER PAN'S FLIGHT,FEB,2 PM,78.94482759
PETER PAN'S FLIGHT,FEB,3 PM,76.94986072
PETER PAN'S FLIGHT,FEB,4 PM,83.59264498
PETER PAN'S FLIGHT,FEB,5 PM,79.77777778
PETER PAN'S FLIGHT,FEB,6 PM,74.1416309
PETER PAN'S FLIGHT,FEB,7 PM,66.11271676
PETER PAN'S FLIGHT,FEB,8 PM,52.52600297
PETER PAN'S FLIGHT,FEB,9 PM,66.79945055
PETER PAN'S FLIGHT,FEB,10 PM,45.8828125
PETER PAN'S FLIGHT,FEB,11 PM,28.81188119
PETER PAN'S FLIGHT,MAR,12 AM,22.71276596
PETER PAN'S FLIGHT,MAR,7 AM,30.2278481
PETER PAN'S FLIGHT,MAR,8 AM,47.01521739
PETER PAN'S FLIGHT,MAR,9 AM,54.12747525
PETER PAN'S FLIGHT,MAR,10 AM,59.15632754
PETER PAN'S FLIGHT,MAR,11 AM,73.47478475
PETER PAN'S FLIGHT,MAR,12 PM,78.74849579
PETER PAN'S FLIGHT,MAR,1 PM,78.84382567
PETER PAN'S FLIGHT,MAR,2 PM,82.39742087
PETER PAN'S FLIGHT,MAR,3 PM,86.05633803
PETER PAN'S FLIGHT,MAR,4 PM,84.64285714
PETER PAN'S FLIGHT,MAR,5 PM,80.79768786
PETER PAN'S FLIGHT,MAR,6 PM,78.32566168
PETER PAN'S FLIGHT,MAR,7 PM,72.42214533
PETER PAN'S FLIGHT,MAR,8 PM,60.08027523
PETER PAN'S FLIGHT,MAR,9 PM,60.70566948
PETER PAN'S FLIGHT,MAR,10 PM,45.92185592
PETER PAN'S FLIGHT,MAR,11 PM,31.66666667
PETER PAN'S FLIGHT,APR,12 AM,20.40254237
PETER PAN'S FLIGHT,APR,8 AM,49.39688716
PETER PAN'S FLIGHT,APR,9 AM,57.01588271
PETER PAN'S FLIGHT,APR,10 AM,60.72575848
PETER PAN'S FLIGHT,APR,11 AM,74.44216089
PETER PAN'S FLIGHT,APR,12 PM,79.96489175
PETER PAN'S FLIGHT,APR,1 PM,82.82756665
PETER PAN'S FLIGHT,APR,2 PM,88.01988636
PETER PAN'S FLIGHT,APR,3 PM,86.52542373
PETER PAN'S FLIGHT,APR,4 PM,86.4939897
PETER PAN'S FLIGHT,APR,5 PM,82.85464098
PETER PAN'S FLIGHT,APR,6 PM,77.54827384
PETER PAN'S FLIGHT,APR,7 PM,74.25194494
PETER PAN'S FLIGHT,APR,8 PM,59.59121415
PETER PAN'S FLIGHT,APR,9 PM,52.27165586
PETER PAN'S FLIGHT,APR,10 PM,50.73295455
PETER PAN'S FLIGHT,APR,11 PM,25.05725191
PETER PAN'S FLIGHT,MAY,12 AM,15
PETER PAN'S FLIGHT,MAY,8 AM,44.30980861
PETER PAN'S FLIGHT,MAY,9 AM,45.84716657
PETER PAN'S FLIGHT,MAY,10 AM,54.42655367
PETER PAN'S FLIGHT,MAY,11 AM,63.16715715
PETER PAN'S FLIGHT,MAY,12 PM,64.1323693
PETER PAN'S FLIGHT,MAY,1 PM,68.59435529
PETER PAN'S FLIGHT,MAY,2 PM,71.28247651
PETER PAN'S FLIGHT,MAY,3 PM,67.94878855
PETER PAN'S FLIGHT,MAY,4 PM,69.7629548
PETER PAN'S FLIGHT,MAY,5 PM,66.29415011
PETER PAN'S FLIGHT,MAY,6 PM,62.45879121
PETER PAN'S FLIGHT,MAY,7 PM,64.42099258
PETER PAN'S FLIGHT,MAY,8 PM,55.02929115
PETER PAN'S FLIGHT,MAY,9 PM,39.88191244
PETER PAN'S FLIGHT,MAY,10 PM,46.56952965
PETER PAN'S FLIGHT,MAY,11 PM,25.03257329
PETER PAN'S FLIGHT,JUN,12 AM,25.95238095
PETER PAN'S FLIGHT,JUN,8 AM,45.96144279
PETER PAN'S FLIGHT,JUN,9 AM,50.40477577
PETER PAN'S FLIGHT,JUN,10 AM,56.96906603
PETER PAN'S FLIGHT,JUN,11 AM,69.80733945
PETER PAN'S FLIGHT,JUN,12 PM,75.29220779
PETER PAN'S FLIGHT,JUN,1 PM,79.2111725
PETER PAN'S FLIGHT,JUN,2 PM,80.41287189
PETER PAN'S FLIGHT,JUN,3 PM,78.32922318
PETER PAN'S FLIGHT,JUN,4 PM,76.7352415
PETER PAN'S FLIGHT,JUN,5 PM,72.73607038
PETER PAN'S FLIGHT,JUN,6 PM,69.06453523
PETER PAN'S FLIGHT,JUN,7 PM,68.69923484
PETER PAN'S FLIGHT,JUN,8 PM,64.05828221
PETER PAN'S FLIGHT,JUN,9 PM,42.1226718
PETER PAN'S FLIGHT,JUN,10 PM,50.3776435
PETER PAN'S FLIGHT,JUN,11 PM,31.70081967
PETER PAN'S FLIGHT,JUL,12 AM,28.91666667
PETER PAN'S FLIGHT,JUL,8 AM,41.45970938
PETER PAN'S FLIGHT,JUL,9 AM,45.39974619
PETER PAN'S FLIGHT,JUL,10 AM,53.38150289
PETER PAN'S FLIGHT,JUL,11 AM,69.6388191
PETER PAN'S FLIGHT,JUL,12 PM,78.07106599
PETER PAN'S FLIGHT,JUL,1 PM,81.85443038
PETER PAN'S FLIGHT,JUL,2 PM,82.60841837
PETER PAN'S FLIGHT,JUL,3 PM,82.41150442
PETER PAN'S FLIGHT,JUL,4 PM,82.96271186
PETER PAN'S FLIGHT,JUL,5 PM,79.21156373
PETER PAN'S FLIGHT,JUL,6 PM,74.64099217
PETER PAN'S FLIGHT,JUL,7 PM,74.00064061
PETER PAN'S FLIGHT,JUL,8 PM,67.42405063
PETER PAN'S FLIGHT,JUL,9 PM,46.56032849
PETER PAN'S FLIGHT,JUL,10 PM,58.20855615
PETER PAN'S FLIGHT,JUL,11 PM,33.45041322
PETER PAN'S FLIGHT,AUG,12 AM,16.92307692
PETER PAN'S FLIGHT,AUG,7 AM,28.22543353
PETER PAN'S FLIGHT,AUG,8 AM,38.38074866
PETER PAN'S FLIGHT,AUG,9 AM,44.92744063
PETER PAN'S FLIGHT,AUG,10 AM,55.74848281
PETER PAN'S FLIGHT,AUG,11 AM,68.21872954
PETER PAN'S FLIGHT,AUG,12 PM,70.19255456
PETER PAN'S FLIGHT,AUG,1 PM,75.13986014
PETER PAN'S FLIGHT,AUG,2 PM,76.32580645
PETER PAN'S FLIGHT,AUG,3 PM,74.05810983
PETER PAN'S FLIGHT,AUG,4 PM,75.46845721
PETER PAN'S FLIGHT,AUG,5 PM,73.43920145
PETER PAN'S FLIGHT,AUG,6 PM,72.93909348
PETER PAN'S FLIGHT,AUG,7 PM,65.70344425
PETER PAN'S FLIGHT,AUG,8 PM,56.21449275
PETER PAN'S FLIGHT,AUG,9 PM,43.45470693
PETER PAN'S FLIGHT,AUG,10 PM,34.03310105
PETER PAN'S FLIGHT,AUG,11 PM,25.70598007
PETER PAN'S FLIGHT,SEP,12 AM,14.11764706
PETER PAN'S FLIGHT,SEP,7 AM,25.11304348
PETER PAN'S FLIGHT,SEP,8 AM,38.46178687
PETER PAN'S FLIGHT,SEP,9 AM,40.0983405
PETER PAN'S FLIGHT,SEP,10 AM,50.37313433
PETER PAN'S FLIGHT,SEP,11 AM,60.90909091
PETER PAN'S FLIGHT,SEP,12 PM,60.40697674
PETER PAN'S FLIGHT,SEP,1 PM,67.22840314
PETER PAN'S FLIGHT,SEP,2 PM,67.7835408
PETER PAN'S FLIGHT,SEP,3 PM,63.23347107
PETER PAN'S FLIGHT,SEP,4 PM,61.23978202
PETER PAN'S FLIGHT,SEP,5 PM,61.18205632
