,RIDE,TIME_OF_DAY,count,mean,std,min,25%,50%,75%,max
164,REMY'S RATATOUILLE ADVENTRUE,8 AM,12.0,47.62230367,5.984637391326966,35.76510067,44.805336325,46.67958097,52.429764767500004,57.09064327
165,REMY'S RATATOUILLE ADVENTRUE,8 PM,12.0,62.77886099833335,8.068327523652423,51.56460296,57.3404820225,62.61456237,65.81900709,78.10991957
166,REMY'S RATATOUILLE ADVENTRUE,9 AM,12.0,54.40631086583334,9.92470994414809,38.85321101,44.9658366875,55.244139669999996,63.047624739999996,66.93384224
167,REMY'S RATATOUILLE ADVENTRUE,9 PM,12.0,47.66082165166667,8.48538212943993,36.73228346,39.895004365,48.91826923,53.1327703,59.69465649
168,RISE OF RESISTANCE,1 PM,12.0,93.29391449916666,16.89259048552107,70.18941868,80.5279385925,88.812459215,107.556462375,117.1273964
169,RISE OF RESISTANCE,10 AM,12.0,91.85878685083334,16.7935429386365,64.81767181,79.9188234225,88.723523875,104.5664783,114.7673716
170,RISE OF RESISTANCE,10 PM,9.0,29.944167696666668,10.109380694281594,10.0,25.0,30.92670157,38.12154696,41.21794872
171,RISE OF RESISTANCE,11 AM,12.0,92.97461442666668,14.515726528372777,75.00994036,80.57692240749999,88.499628235,105.506457025,113.0164159
172,RISE OF RESISTANCE,11 PM,9.0,30.718759839333334,13.029534611379008,8.262711864,24.23728814,31.15384615,40.16949153,47.18394649
173,RISE OF RESISTANCE,12 AM,9.0,28.194592643333333,18.068232578049525,5.0,13.11440678,29.88888889,39.28571429,56.44036697
174,RISE OF RESISTANCE,12 PM,12.0,92.94572805,15.389586544009394,69.26056338,82.50125409500001,91.387873625,104.5572877,116.9131122
175,RISE OF RESISTANCE,2 PM,12.0,94.45289848750001,17.84673436789457,65.26152787,83.23156784,87.08852247,110.54525525,121.0088365
176,RISE OF RESISTANCE,3 PM,12.0,91.55868846499999,17.71222425615041,61.76907074,77.6897212625,89.829795395,105.103737775,117.5382166
177,RISE OF RESISTANCE,4 PM,12.0,85.89329216833333,16.529285516338298,58.47556528,73.40896308,86.021200215,97.20876270000001,110.4692082
178,RISE OF RESISTANCE,5 PM,12.0,83.15722735499999,15.851776305030121,58.42293907,70.912179985,81.45071688499999,95.58718149250001,106.4870436
179,RISE OF RESISTANCE,6 PM,12.0,80.80383052583333,14.005539074496863,55.32258065,71.21262136499999,79.93967229,94.6770687625,98.11919505
180,RISE OF RESISTANCE,7 PM,12.0,69.94813460333334,10.838117008230565,49.25154639,68.2007171125,70.74237035,75.9154174425,86.24802528
181,RISE OF RESISTANCE,8 AM,12.0,58.31946711666668,9.431089465931459,44.60616438,53.333983635,57.396093655,62.45747229,75.70342772
182,RISE OF RESISTANCE,8 PM,12.0,50.503433243333326,10.958910863358815,33.1997328,42.318155559999994,52.556642225000004,58.5943980825,67.24505327
183,RISE OF RESISTANCE,9 AM,12.0,86.48114971,16.195858982060876,61.40498899,74.88003233,85.18213048999999,94.8397582475,115.1115486
184,RISE OF RESISTANCE,9 PM,12.0,35.495431877499996,14.544135885854272,20.76525822,27.56696429,30.75,36.672547572499994,73.16326531
185,SEVEN DWARFS MINE TRAIN,1 PM,12.0,88.86431098833334,9.516482776861164,73.08846154,81.828203325,88.41668314500001,97.062706675,101.2622549
186,SEVEN DWARFS MINE TRAIN,10 AM,12.0,75.25570749833334,6.830336432674473,61.80348259,70.8506197925,74.817284465,81.1155627,84.66932725
187,SEVEN DWARFS MINE TRAIN,10 PM,12.0,53.63158380250001,12.436886895085694,36.11111111,47.470712295,50.62564622,54.694084274999994,79.21307506
